Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,19.0251, ,Mean Pore Area,3425.1739
Histogram Mean,25.5555, ,Pore Area SD,6360.7841
Histogram SD,18.5781, ,Min. Pore Area,16.0000
Histogram Mode,16.0000, ,Max. Pore Area,34969.0000
Histogram Median,30.0000, ,Percent Porosity,0.2577
Histogram Min Diam.,2.0000, ,Number of Pores,69.0000
Histogram Max Diam.,196.0000, ,# of Intersections,177.0000
Histogram Integrated Density,159778.0000, ,Intersection Density (100x100px),1.4404
Histogram Raw Integrated Density,159778.0000, ,Char. Length,64.8279
Diameter Skewness,1.7463, ,SD Char. Length,55.2065
Diameter Kurtosis,3.9451, ,Max Span Length,281.8234
Fiber Length,8070.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),-876.0484
