 ,Angle,Mat1-TUK-3lay-190424_10kx_01_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_01_S1_OrientJ Hist.csv Normalized,Mat1-TUK-3lay-190424_10kx_03_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_03_S1_OrientJ Hist.csv Normalized,Mat1-TUK-3lay-190424_10kx_05_S1_OrientJ Hist.csv,Mat1-TUK-3lay-190424_10kx_05_S1_OrientJ Hist.csv Normalized,test_10k_S1_OrientJ Hist.csv,test_10k_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
168,77,1186.7346,0.0033,1295.1455,0.0036,27.9742,7.393E-5,299.5750,0.0011,2809.4293,0.0081
169,78,1436.3190,0.0040,717.3862,0.0020,37.1452,9.817E-5,212.6912,0.0008,2403.5416,0.0069
170,79,2191.5323,0.0061,782.6986,0.0022,63.9455,0.0002,166.5284,0.0006,3204.7048,0.0091
171,80,4994.4310,0.0140,976.5398,0.0027,97.4912,0.0003,156.9526,0.0006,6225.4146,0.0176
172,81,7225.4003,0.0203,2150.0924,0.0059,144.2994,0.0004,165.9383,0.0006,9685.7304,0.0272
173,82,7363.1171,0.0206,3231.5394,0.0089,208.8211,0.0006,220.5264,0.0008,11024.0040,0.0309
174,83,4925.1283,0.0138,1890.6163,0.0052,376.1303,0.0010,335.7734,0.0012,7527.6483,0.0212
175,84,1639.3519,0.0046,1785.3954,0.0049,352.0652,0.0009,527.5284,0.0019,4304.3409,0.0123
176,85,1306.6854,0.0037,1495.5975,0.0041,361.4072,0.0010,721.8754,0.0027,3885.5655,0.0115
177,86,1107.4611,0.0031,1975.1317,0.0055,430.8087,0.0011,587.5775,0.0022,4100.9790,0.0119
178,87,1145.0378,0.0032,2095.2311,0.0058,573.5955,0.0015,643.9407,0.0024,4457.8051,0.0129
179,88,1660.4506,0.0047,3046.2628,0.0084,1188.4415,0.0031,746.4528,0.0028,6641.6077,0.0190
180,89,3216.6573,0.0090,6431.1635,0.0178,4322.9274,0.0114,1478.4112,0.0055,15449.1594,0.0437
