 ,Pore Area,Major Pore Axis,Minor Pore Axis,File Name
83,3856,91.0662,53.9125,Bimodal_m06_S1_Pore Data2.csv
84,2402,98.0316,31.1973,Bimodal_m06_S1_Pore Data2.csv
85,234,36.7764,8.1013,Bimodal_m06_S1_Pore Data2.csv
86,4226,151.2006,35.5866,Bimodal_m06_S1_Pore Data2.csv
87,18008,195.8434,117.0756,Bimodal_m06_S1_Pore Data2.csv
88,10968,171.3310,81.5083,Bimodal_m06_S1_Pore Data2.csv
89,275,37.1041,9.4367,Bimodal_m06_S1_Pore Data2.csv
90,380,29.2455,16.5438,Bimodal_m06_S1_Pore Data2.csv
91,6074,108.1117,71.5339,Bimodal_m06_S1_Pore Data2.csv
92,7555,149.1964,64.4742,Bimodal_m06_S1_Pore Data2.csv
93,4138,135.0798,39.0041,Bimodal_m06_S1_Pore Data2.csv
94,1997,63.2777,40.1826,Bimodal_m06_S1_Pore Data2.csv
95,329,26.6061,15.7443,Bimodal_m06_S1_Pore Data2.csv
96,49,8.3641,7.4591,Bimodal_m06_S1_Pore Data2.csv
97,3299,88.0225,47.7198,Bimodal_m06_S1_Pore Data2.csv
98,16381,216.9767,96.1252,Bimodal_m06_S1_Pore Data2.csv
99,7529,119.3362,80.3295,Bimodal_m06_S1_Pore Data2.csv
100,1585,78.4030,25.7399,Bimodal_m06_S1_Pore Data2.csv
101,7044,126.0108,71.1740,Bimodal_m06_S1_Pore Data2.csv
102,279,24.6646,14.4026,Bimodal_m06_S1_Pore Data2.csv
103,23483,241.3741,123.8720,Bimodal_m06_S1_Pore Data2.csv
104,50,9.7133,6.5541,Bimodal_m06_S1_Pore Data2.csv
105,928,53.0711,22.2638,Bimodal_m06_S1_Pore Data2.csv
106,5437,115.1572,60.1144,Bimodal_m06_S1_Pore Data2.csv
107,541,38.5945,17.8477,Bimodal_m06_S1_Pore Data2.csv
108,446,31.3650,18.1050,Bimodal_m06_S1_Pore Data2.csv
109,8715,168.7826,65.7431,Bimodal_m06_S1_Pore Data2.csv
110,4675,105.3524,56.4999,Bimodal_m06_S1_Pore Data2.csv
111,10777,236.4018,58.0440,Bimodal_m06_S1_Pore Data2.csv
112,11420,155.3961,93.5699,Bimodal_m06_S1_Pore Data2.csv
113,427,26.6677,20.3870,Bimodal_m06_S1_Pore Data2.csv
114,31,6.8698,5.7455,Bimodal_m06_S1_Pore Data2.csv
115,14996,170.9929,111.6625,Bimodal_m06_S1_Pore Data2.csv
116,2410,81.1770,37.8002,Bimodal_m06_S1_Pore Data2.csv
117,4064,131.0753,39.4769,Bimodal_m06_S1_Pore Data2.csv
118,1407,50.0069,35.8240,Bimodal_m06_S1_Pore Data2.csv
119,4568,100.8332,57.6810,Bimodal_m06_S1_Pore Data2.csv
120,17208,210.8480,103.9133,Bimodal_m06_S1_Pore Data2.csv
121,5625,100.1494,71.5129,Bimodal_m06_S1_Pore Data2.csv
122,1537,75.0649,26.0704,Bimodal_m06_S1_Pore Data2.csv
123,4296,97.1453,56.3057,Bimodal_m06_S1_Pore Data2.csv
124,1714,127.9188,17.0603,Bimodal_m06_S1_Pore Data2.csv
125,1572,61.5578,32.5147,Bimodal_m06_S1_Pore Data2.csv
126,351,35.7241,12.5100,Bimodal_m06_S1_Pore Data2.csv
127,4182,89.8821,59.2408,Bimodal_m06_S1_Pore Data2.csv
128,1986,64.6144,39.1345,Bimodal_m06_S1_Pore Data2.csv
129,5932,128.0554,58.9812,Bimodal_m06_S1_Pore Data2.csv
130,3858,105.9312,46.3712,Bimodal_m06_S1_Pore Data2.csv
131,11929,140.1344,108.3851,Bimodal_m06_S1_Pore Data2.csv
132,4651,100.0147,59.2097,Bimodal_m06_S1_Pore Data2.csv
133,7646,122.6817,79.3532,Bimodal_m06_S1_Pore Data2.csv
134,8744,156.8142,70.9962,Bimodal_m06_S1_Pore Data2.csv
135,3366,131.0151,32.7117,Bimodal_m06_S1_Pore Data2.csv
136,15288,166.4386,116.9517,Bimodal_m06_S1_Pore Data2.csv
137,8095,116.5013,88.4700,Bimodal_m06_S1_Pore Data2.csv
138,352,26.4898,16.9190,Bimodal_m06_S1_Pore Data2.csv
139,12430,135.8978,116.4579,Bimodal_m06_S1_Pore Data2.csv
140,210,18.2648,14.6391,Bimodal_m06_S1_Pore Data2.csv
141,3687,83.4298,56.2681,Bimodal_m06_S1_Pore Data2.csv
142,3022,78.4506,49.0465,Bimodal_m06_S1_Pore Data2.csv
143,3891,100.7324,49.1815,Bimodal_m06_S1_Pore Data2.csv
144,2003,82.0578,31.0793,Bimodal_m06_S1_Pore Data2.csv
145,6101,107.0702,72.5509,Bimodal_m06_S1_Pore Data2.csv
146,3140,89.5505,44.6449,Bimodal_m06_S1_Pore Data2.csv
147,271,22.2847,15.4836,Bimodal_m06_S1_Pore Data2.csv
148,2271,86.0505,33.6027,Bimodal_m06_S1_Pore Data2.csv
149,2877,85.0588,43.0656,Bimodal_m06_S1_Pore Data2.csv
150,288,34.3030,10.6898,Bimodal_m06_S1_Pore Data2.csv
151,1465,56.5119,33.0071,Bimodal_m06_S1_Pore Data2.csv
152,854,36.2313,30.0112,Bimodal_m06_S1_Pore Data2.csv
153,855,51.5342,21.1242,Bimodal_m06_S1_Pore Data2.csv
154,1284,44.5513,36.6957,Bimodal_m06_S1_Pore Data2.csv
155,443,33.7906,16.6924,Bimodal_m06_S1_Pore Data2.csv
156,1503,48.4919,39.4639,Bimodal_m06_S1_Pore Data2.csv
157,285,30.4960,11.8991,Bimodal_m06_S1_Pore Data2.csv
158,106,14.3897,9.3792,Bimodal_m06_S1_Pore Data2.csv
159,374,31.3096,15.2091,Bimodal_m06_S1_Pore Data2.csv
160,23,5.9336,4.9353,Bimodal_m06_S1_Pore Data2.csv
161,126,16.1015,9.9636,Bimodal_m06_S1_Pore Data2.csv
162,24,7.6887,3.9744,Bimodal_m06_S1_Pore Data2.csv
163,84,12.7186,8.4091,Bimodal_m06_S1_Pore Data2.csv
164,80,12.2816,8.2937,Bimodal_m06_S1_Pore Data2.csv
165,102,13.3869,9.7013,Bimodal_m06_S1_Pore Data2.csv
166,32,9.0270,4.5135,Bimodal_m06_S1_Pore Data2.csv
167,26,6.7871,4.8775,Bimodal_m06_S1_Pore Data2.csv
168,542,35.7238,19.3175,Bimodal_m10_S1_Pore Data2.csv
169,264,22.9588,14.6408,Bimodal_m10_S1_Pore Data2.csv
170,104,17.2991,7.6545,Bimodal_m10_S1_Pore Data2.csv
171,268,25.4752,13.3946,Bimodal_m10_S1_Pore Data2.csv
172,1025,74.4001,17.5412,Bimodal_m10_S1_Pore Data2.csv
173,2895,91.8493,40.1313,Bimodal_m10_S1_Pore Data2.csv
174,99,14.3391,8.7907,Bimodal_m10_S1_Pore Data2.csv
175,4434,104.2395,54.1594,Bimodal_m10_S1_Pore Data2.csv
