 ,Angle,Bimodal_2_m02_S1_OrientJ Hist.csv,Bimodal_2_m02_S1_OrientJ Hist.csv Normalized,Bimodal_m06_S1_OrientJ Hist.csv,Bimodal_m06_S1_OrientJ Hist.csv Normalized,Bimodal_m10_S1_OrientJ Hist.csv,Bimodal_m10_S1_OrientJ Hist.csv Normalized,Biomodal_m02_S1_OrientJ Hist.csv,Biomodal_m02_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
113,22,2233.6108,0.0053,913.7695,0.0017,653.4148,0.0014,1052.7955,0.0025,4853.5906,0.0109
114,23,1390.7568,0.0033,894.6902,0.0017,279.6334,0.0006,738.0472,0.0017,3303.1276,0.0073
115,24,1202.9663,0.0029,760.3477,0.0014,0,0,715.6206,0.0017,2678.9346,0.0060
116,25,1283.8914,0.0031,448.5477,0.0008,76.8616,0.0002,793.7733,0.0019,2603.0740,0.0060
117,26,1634.3545,0.0039,396.8644,0.0007,111.4327,0.0002,947.3839,0.0022,3090.0355,0.0070
118,27,1954.1487,0.0047,435.1014,0.0008,101.6793,0.0002,1410.2677,0.0033,3901.1971,0.0090
119,28,2379.3127,0.0057,727.3521,0.0014,102.0503,0.0002,1875.3304,0.0044,5084.0455,0.0117
120,29,1913.5664,0.0046,1401.5570,0.0026,117.7244,0.0003,3644.8915,0.0086,7077.7393,0.0161
121,30,2343.8613,0.0056,1213.8973,0.0023,110.4470,0.0002,3401.0887,0.0080,7069.2943,0.0161
122,31,3279.9385,0.0078,967.9199,0.0018,221.3086,0.0005,2525.1180,0.0059,6994.2850,0.0160
123,32,1839.0042,0.0044,840.4185,0.0016,208.1174,0.0005,2479.3866,0.0058,5366.9267,0.0123
124,33,2409.6230,0.0057,902.2203,0.0017,229.1090,0.0005,2357.6188,0.0056,5898.5711,0.0135
125,34,2072.8811,0.0049,893.3656,0.0017,286.5035,0.0006,2427.1215,0.0057,5679.8717,0.0129
126,35,1461.5894,0.0035,839.7938,0.0016,650.3282,0.0014,2605.7491,0.0061,5557.4605,0.0126
127,36,1412.6863,0.0034,917.0721,0.0017,947.3519,0.0021,2961.4886,0.0070,6238.5989,0.0142
128,37,1492.8159,0.0036,1164.4508,0.0022,931.4740,0.0020,3274.3885,0.0077,6863.1292,0.0155
129,38,1707.3179,0.0041,1289.6089,0.0024,846.9694,0.0019,3267.0272,0.0077,7110.9234,0.0161
130,39,2012.9080,0.0048,1396.8938,0.0026,959.7592,0.0021,3632.3544,0.0086,8001.9154,0.0181
131,40,2832.0918,0.0068,1387.8232,0.0026,1519.8517,0.0033,3471.8549,0.0082,9211.6216,0.0209
132,41,3328.0269,0.0079,1474.0356,0.0028,2483.5228,0.0054,6520.8422,0.0154,13806.4275,0.0315
133,42,2082.3079,0.0050,1759.7434,0.0033,3419.0038,0.0075,12699.9716,0.0299,19961.0267,0.0457
134,43,2396.7905,0.0057,1872.8928,0.0035,3342.9379,0.0073,7822.3260,0.0184,15434.9472,0.0349
135,44,2859.3923,0.0068,1997.6436,0.0038,4344.3846,0.0095,8320.6591,0.0196,17522.0796,0.0397
136,45,3516.1465,0.0084,2942.2827,0.0056,3570.1971,0.0078,10443.2811,0.0246,20471.9074,0.0464
137,46,4979.3447,0.0119,3999.3130,0.0075,2502.6429,0.0055,9734.2948,0.0229,21215.5954,0.0478
138,47,4753.6797,0.0113,5238.6792,0.0099,2261.9781,0.0050,8828.4061,0.0208,21082.7431,0.0470
139,48,3302.3398,0.0079,3993.1338,0.0075,2390.6200,0.0052,6175.4076,0.0145,15861.5012,0.0351
140,49,3234.0278,0.0077,2121.1130,0.0040,2274.8461,0.0050,5399.5272,0.0127,13029.5141,0.0294
141,50,3189.5317,0.0076,1996.2883,0.0038,2141.8114,0.0047,5781.8085,0.0136,13109.4399,0.0297
142,51,2498.9634,0.0060,2133.2756,0.0040,1960.5763,0.0043,3585.6923,0.0084,10178.5076,0.0227
143,52,1994.0967,0.0048,2507.3982,0.0047,1764.9762,0.0039,1937.9755,0.0046,8204.4466,0.0180
144,53,1891.5559,0.0045,2554.0168,0.0048,1719.8412,0.0038,1349.4935,0.0032,7514.9074,0.0163
145,54,2700.9758,0.0064,2810.3901,0.0053,1998.6315,0.0044,777.3094,0.0018,8287.3068,0.0179
146,55,2698.3628,0.0064,3137.2083,0.0059,2721.5453,0.0060,643.2538,0.0015,9200.3702,0.0198
147,56,1411.1548,0.0034,3908.3340,0.0074,3463.0140,0.0076,670.5903,0.0016,9453.0931,0.0200
148,57,952.2334,0.0023,3434.5522,0.0065,3070.4564,0.0067,594.1102,0.0014,8051.3522,0.0169
149,58,776.7025,0.0019,2158.8359,0.0041,2116.3397,0.0046,542.1123,0.0013,5593.9904,0.0119
150,59,625.0754,0.0015,1650.9619,0.0031,1543.1105,0.0034,581.4216,0.0014,4400.5694,0.0094
151,60,794.3605,0.0019,1407.1261,0.0027,1260.2626,0.0028,655.1399,0.0015,4116.8891,0.0089
152,61,865.5544,0.0021,1318.1039,0.0025,1163.7096,0.0026,717.2008,0.0017,4064.5687,0.0089
153,62,741.0242,0.0018,1426.1699,0.0027,1128.6161,0.0025,555.5686,0.0013,3851.3788,0.0083
154,63,650.4980,0.0016,1529.4050,0.0029,1141.7147,0.0025,482.9806,0.0011,3804.5983,0.0081
155,64,807.4286,0.0019,1547.1267,0.0029,1237.3146,0.0027,438.8225,0.0010,4030.6924,0.0085
156,65,830.3860,0.0020,1214.4353,0.0023,1161.6234,0.0025,733.4420,0.0017,3939.8867,0.0085
157,66,794.2235,0.0019,1236.4949,0.0023,1129.0865,0.0025,1056.6144,0.0025,4216.4193,0.0092
158,67,1241.3457,0.0030,1204.0840,0.0023,1063.1481,0.0023,790.3280,0.0019,4298.9058,0.0095
159,68,1731.0271,0.0041,1255.9882,0.0024,1083.9069,0.0024,790.9845,0.0019,4861.9067,0.0108
160,69,1370.1743,0.0033,1555.7302,0.0029,1019.4794,0.0022,887.9930,0.0021,4833.3769,0.0105
161,70,1580.4778,0.0038,2758.1794,0.0052,1056.2382,0.0023,929.3361,0.0022,6324.2315,0.0135
162,71,1499.2512,0.0036,4747.9771,0.0090,1199.8339,0.0026,1490.8534,0.0035,8937.9156,0.0187
163,72,1553.0530,0.0037,3949.8506,0.0075,1544.9171,0.0034,5929.4999,0.0140,12977.3206,0.0286
164,73,2423.1885,0.0058,2932.1248,0.0055,2692.8622,0.0059,6524.0326,0.0154,14572.2081,0.0326
165,74,2071.8220,0.0049,3390.0400,0.0064,2830.6979,0.0062,3631.5311,0.0086,11924.0910,0.0261
166,75,1452.1179,0.0035,3376.7458,0.0064,3096.7533,0.0068,1609.1024,0.0038,9534.7194,0.0205
167,76,1257.5093,0.0030,3370.2542,0.0064,4789.5233,0.0105,1446.0641,0.0034,10863.3509,0.0233
168,77,2580.6987,0.0062,3139.2844,0.0059,5429.9052,0.0119,1727.7377,0.0041,12877.6260,0.0281
169,78,2747.4851,0.0066,3577.4604,0.0068,3609.2391,0.0079,2248.4974,0.0053,12182.6820,0.0266
170,79,2046.0427,0.0049,2856.5571,0.0054,3240.7250,0.0071,864.6532,0.0020,9007.9780,0.0194
171,80,1888.8418,0.0045,2549.1780,0.0048,3735.2719,0.0082,604.2836,0.0014,8777.5753,0.0189
172,81,1871.0791,0.0045,2677.6169,0.0051,4595.8856,0.0101,534.3113,0.0013,9678.8929,0.0210
173,82,1953.7031,0.0047,2775.5254,0.0052,4806.8319,0.0105,560.0964,0.0013,10096.1568,0.0217
174,83,2337.4998,0.0056,2908.6875,0.0055,3306.3207,0.0073,710.3719,0.0017,9262.8799,0.0201
175,84,2581.4482,0.0062,3410.6016,0.0064,4014.9608,0.0088,888.2086,0.0021,10895.2192,0.0235
176,85,3430.6128,0.0082,4593.7065,0.0087,4047.2338,0.0089,1271.5687,0.0030,13343.1218,0.0288
177,86,4482.8911,0.0107,4957.8555,0.0094,3749.2299,0.0082,1587.4171,0.0037,14777.3936,0.0320
178,87,6551.2207,0.0156,4539.4951,0.0086,3936.0629,0.0086,1907.2604,0.0045,16934.0391,0.0373
179,88,9815.0513,0.0234,4574.8062,0.0086,4278.5472,0.0094,2591.8600,0.0061,21260.2647,0.0475
180,89,8449.1694,0.0202,6126.1777,0.0116,5261.9974,0.0115,2926.9076,0.0069,22764.2521,0.0502
