 ,Char. Length,Eucl. Length,File Name
91,92.1127,84.9294,Bimodal_2_m02_S1_Intersections2.csv
92,91.9828,82.0731,Bimodal_2_m02_S1_Intersections2.csv
93,91.5563,87.4643,Bimodal_2_m02_S1_Intersections2.csv
94,90.0122,82.0792,Bimodal_2_m02_S1_Intersections2.csv
95,89.0122,82.2800,Bimodal_2_m02_S1_Intersections2.csv
96,88.7817,85.9127,Bimodal_2_m02_S1_Intersections2.csv
97,87.9117,76.8960,Bimodal_2_m02_S1_Intersections2.csv
98,87.6985,79.0569,Bimodal_2_m02_S1_Intersections2.csv
99,87.5269,78.6448,Bimodal_2_m02_S1_Intersections2.csv
100,87.3970,77.8332,Bimodal_2_m02_S1_Intersections2.csv
101,86.9828,79.4040,Bimodal_2_m02_S1_Intersections2.csv
102,86.8823,82.2010,Bimodal_2_m02_S1_Intersections2.csv
103,85.8112,80.4550,Bimodal_2_m02_S1_Intersections2.csv
104,85.7279,82.4924,Bimodal_2_m02_S1_Intersections2.csv
105,84.8112,79.6116,Bimodal_2_m02_S1_Intersections2.csv
106,84.8112,78.6003,Bimodal_2_m02_S1_Intersections2.csv
107,84.6274,78.2304,Bimodal_2_m02_S1_Intersections2.csv
108,83.8406,77.4726,Bimodal_2_m02_S1_Intersections2.csv
109,83.6274,78.2624,Bimodal_2_m02_S1_Intersections2.csv
110,83.5685,78.0320,Bimodal_2_m02_S1_Intersections2.csv
111,83.3259,75.7166,Bimodal_2_m02_S1_Intersections2.csv
112,83.2132,77.6660,Bimodal_2_m02_S1_Intersections2.csv
113,82.8823,78.8733,Bimodal_2_m02_S1_Intersections2.csv
114,82.6396,78.0064,Bimodal_2_m02_S1_Intersections2.csv
115,82.4558,74.8131,Bimodal_2_m02_S1_Intersections2.csv
116,81.2426,80.0562,Bimodal_2_m02_S1_Intersections2.csv
117,79.8406,67.8970,Bimodal_2_m02_S1_Intersections2.csv
118,79.4975,73.8241,Bimodal_2_m02_S1_Intersections2.csv
119,77.8284,77.0000,Bimodal_2_m02_S1_Intersections2.csv
120,77.6274,70.4060,Bimodal_2_m02_S1_Intersections2.csv
121,76.7696,70.9366,Bimodal_2_m02_S1_Intersections2.csv
122,76.3848,70.7107,Bimodal_2_m02_S1_Intersections2.csv
123,75.6690,68.4471,Bimodal_2_m02_S1_Intersections2.csv
124,75.2843,69.9214,Bimodal_2_m02_S1_Intersections2.csv
125,75.2843,69.9214,Bimodal_2_m02_S1_Intersections2.csv
126,74.3970,70.6045,Bimodal_2_m02_S1_Intersections2.csv
127,74.1421,70.4557,Bimodal_2_m02_S1_Intersections2.csv
128,74.0416,69.1231,Bimodal_2_m02_S1_Intersections2.csv
129,73.4975,68.6003,Bimodal_2_m02_S1_Intersections2.csv
130,73.3970,69.8140,Bimodal_2_m02_S1_Intersections2.csv
131,73.3553,63.5138,Bimodal_2_m02_S1_Intersections2.csv
132,72.1838,64.4981,Bimodal_2_m02_S1_Intersections2.csv
133,71.4975,48.7647,Bimodal_2_m02_S1_Intersections2.csv
134,71.1838,65.3070,Bimodal_2_m02_S1_Intersections2.csv
135,70.8995,68.0074,Bimodal_2_m02_S1_Intersections2.csv
136,69.9706,66.0984,Bimodal_2_m02_S1_Intersections2.csv
137,69.1543,65.1920,Bimodal_2_m02_S1_Intersections2.csv
138,69.0833,64.3506,Bimodal_2_m02_S1_Intersections2.csv
139,69.0416,63.3482,Bimodal_2_m02_S1_Intersections2.csv
140,68.6985,59.9416,Bimodal_2_m02_S1_Intersections2.csv
141,68.4975,63.0317,Bimodal_2_m02_S1_Intersections2.csv
142,68.3848,63.1506,Bimodal_2_m02_S1_Intersections2.csv
143,68.0122,63.0635,Bimodal_2_m02_S1_Intersections2.csv
144,67.7696,61.8466,Bimodal_2_m02_S1_Intersections2.csv
145,67.2548,62.7694,Bimodal_2_m02_S1_Intersections2.csv
146,66.5980,59.6406,Bimodal_2_m02_S1_Intersections2.csv
147,66.1838,58.1378,Bimodal_2_m02_S1_Intersections2.csv
148,65.8406,55.6597,Bimodal_2_m02_S1_Intersections2.csv
149,63.8406,56.5685,Bimodal_2_m02_S1_Intersections2.csv
150,63.6985,58.8727,Bimodal_2_m02_S1_Intersections2.csv
151,63.6690,59.4054,Bimodal_2_m02_S1_Intersections2.csv
152,62.8406,57.3847,Bimodal_2_m02_S1_Intersections2.csv
153,62.7696,58.1378,Bimodal_2_m02_S1_Intersections2.csv
154,62.6985,56.8595,Bimodal_2_m02_S1_Intersections2.csv
155,62.5980,58.1808,Bimodal_2_m02_S1_Intersections2.csv
156,62.3848,58.4637,Bimodal_2_m02_S1_Intersections2.csv
157,61.2548,57.0088,Bimodal_2_m02_S1_Intersections2.csv
158,61.0000,61.0000,Bimodal_2_m02_S1_Intersections2.csv
159,60.4558,24.3516,Bimodal_2_m02_S1_Intersections2.csv
160,60.2548,55.7584,Bimodal_2_m02_S1_Intersections2.csv
161,60.2426,59.0762,Bimodal_2_m02_S1_Intersections2.csv
162,59.8406,55.2268,Bimodal_2_m02_S1_Intersections2.csv
163,58.3259,56.7274,Bimodal_2_m02_S1_Intersections2.csv
164,57.9411,49.8197,Bimodal_2_m02_S1_Intersections2.csv
165,57.6274,51.6236,Bimodal_2_m02_S1_Intersections2.csv
166,57.5980,52.4976,Bimodal_2_m02_S1_Intersections2.csv
