 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
61,,4082,305.7056,105.3686,49.3256,118.9263,0.5489,2.1362,0.4681,0.8653
62,,8218,389.6884,130.1845,80.3743,115.2629,0.6801,1.6197,0.6174,0.9684
63,,7828,351.7645,125.2338,79.5865,86.1843,0.7950,1.5736,0.6355,0.9767
64,,1048,135.4386,48.2174,27.6737,161.4244,0.7179,1.7424,0.5739,0.9488
65,,2724,226.8356,69.0584,50.2228,97.1238,0.6653,1.3750,0.7273,0.9367
66,,286,72.0833,30.3004,12.0179,127.2921,0.6917,2.5213,0.3966,0.9226
67,,625,109.8823,38.1018,20.8855,68.0719,0.6505,1.8243,0.5481,0.9124
68,,887,152.8112,60.1497,18.7759,100.6531,0.4773,3.2036,0.3122,0.9102
69,,1319,193.9655,65.4873,25.6447,72.9438,0.4406,2.5536,0.3916,0.7777
70,,338,75.2548,25.1968,17.0797,50.5505,0.7500,1.4752,0.6779,0.9037
71,,25,17.3137,6.2570,5.0872,81.4645,1.0000,1.2299,0.8130,0.9091
72,,966,162.1249,67.4224,18.2425,8.0079,0.4618,3.6959,0.2706,0.8433
73,,588,127.2965,34.0847,21.9648,87.7931,0.4560,1.5518,0.6444,0.7084
74,,41,22.7279,7.7696,6.7189,45.0013,0.9974,1.1564,0.8648,0.9213
75,,152,46.6274,18.4503,10.4894,90.0000,0.8786,1.7590,0.5685,0.9500
76,,152,46.6274,18.4503,10.4894,90.0000,0.8786,1.7590,0.5685,0.9500
77,,97,35.7990,12.6068,9.7966,75.1384,0.9511,1.2869,0.7771,0.9327
78,,66,29.5563,10.4630,8.0315,84.0509,0.9494,1.3027,0.7676,0.9231
79,,36,20.7279,7.3721,6.2176,72.9706,1.0000,1.1857,0.8434,0.9351
80,Mean,4975.2658,279.1591,93.3011,43.6666,91.5511,0.6099,2.3336,0.5113,0.9008
81,SD,7652.5155,256.5219,72.1369,37.9452,45.4838,0.1905,1.3217,0.1806,0.0772
82,Min,25,17.3137,6.2570,5.0872,1.6361,0.2013,1.1251,0.1023,0.5624
83,Max,35214,1424.0530,315.1717,190.3173,176.6538,1.0000,9.7706,0.8888,0.9776
