 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
70,,2877,313.3209,85.0588,43.0656,71.0076,0.3683,1.9751,0.5063,0.8802
71,,288,80.0416,34.3030,10.6898,86.9537,0.5649,3.2089,0.3116,0.9014
72,,1465,165.0538,56.5119,33.0071,113.2250,0.6758,1.7121,0.5841,0.9532
73,,854,140.1249,36.2313,30.0112,76.1274,0.5466,1.2073,0.8283,0.8303
74,,855,129.3970,51.5342,21.1242,157.8893,0.6417,2.4396,0.4099,0.9526
75,,1284,145.2965,44.5513,36.6957,15.5354,0.7643,1.2141,0.8237,0.9417
76,,443,88.4264,33.7906,16.6924,91.6126,0.7120,2.0243,0.4940,0.9446
77,,1503,172.8528,48.4919,39.4639,178.0626,0.6321,1.2288,0.8138,0.8593
78,,285,83.2548,30.4960,11.8991,113.2725,0.5167,2.5629,0.3902,0.8444
79,,106,38.6274,14.3897,9.3792,74.5588,0.8927,1.5342,0.6518,0.9258
80,,374,88.1838,31.3096,15.2091,101.4764,0.6044,2.0586,0.4858,0.8728
81,,23,16.4853,5.9336,4.9353,134.9994,1.0000,1.2023,0.8318,0.9583
82,,126,43.2132,16.1015,9.9636,96.9414,0.8479,1.6160,0.6188,0.9299
83,,24,18.4853,7.6887,3.9744,76.7175,0.8826,1.9346,0.5169,0.9231
84,,84,34.1421,12.7186,8.4091,90.0000,0.9055,1.5125,0.6612,0.9438
85,,80,32.9706,12.2816,8.2937,87.1431,0.9248,1.4808,0.6753,0.9302
86,,102,37.7990,13.3869,9.7013,99.9675,0.8971,1.3799,0.7247,0.9231
87,,32,21.6569,9.0270,4.5135,90.0000,0.8574,2.0000,0.5000,1.0000
88,,26,17.8995,6.7871,4.8775,119.4674,1.0000,1.3915,0.7186,0.9455
89,Mean,4035.7500,259.2450,83.8883,42.7091,94.0518,0.6304,2.1354,0.5468,0.9071
90,SD,4895.8615,216.5538,58.5468,31.7861,34.3395,0.1979,1.1789,0.1730,0.0775
91,Min,23,16.4853,5.9336,3.9744,10.6185,0.1692,1.1213,0.1158,0.5720
92,Max,23483,1320.6387,241.3741,123.8720,178.0626,1.0000,8.6345,0.8918,1.0000
