Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,96.2492, ,Mean Pore Area,9520.4167
Histogram Mean,72.1525, ,Pore Area SD,12076.6334
Histogram SD,6.0366, ,Min. Pore Area,21.0000
Histogram Mode,68.0000, ,Max. Pore Area,30921.0000
Histogram Median,70.0000, ,Percent Porosity,0.2931
Histogram Min Diam.,2.0000, ,Number of Pores,12.0000
Histogram Max Diam.,148.0000, ,# of Intersections,45.0000
Histogram Integrated Density,122451.0000, ,Intersection Density (100x100px),0.5722
Histogram Raw Integrated Density,122451.0000, ,Char. Length,103.5004
Diameter Skewness,-0.3559, ,SD Char. Length,82.9833
Diameter Kurtosis,-0.3218, ,Max Span Length,351.8234
Fiber Length,3790.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),129.8063
