Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,22.4788, ,Mean Pore Area,2097.2231
Histogram Mean,19.6527, ,Pore Area SD,3373.8364
Histogram SD,5.4765, ,Min. Pore Area,41.0000
Histogram Mode,20.0000, ,Max. Pore Area,20732.0000
Histogram Median,20.0000, ,Percent Porosity,0.4976
Histogram Min Diam.,2.0000, ,Number of Pores,121.0000
Histogram Max Diam.,44.0000, ,# of Intersections,327.0000
Histogram Integrated Density,126112.0000, ,Intersection Density (100x100px),4.1580
Histogram Raw Integrated Density,126112.0000, ,Char. Length,40.0482
Diameter Skewness,0.0289, ,SD Char. Length,41.6593
Diameter Kurtosis,1.1989, ,Max Span Length,263.5219
Fiber Length,12841.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),54.7156
