Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,21.6866, ,Mean Pore Area,1888.6923
Histogram Mean,24.3765, ,Pore Area SD,2943.3232
Histogram SD,4.6034, ,Min. Pore Area,10.0000
Histogram Mode,26.0000, ,Max. Pore Area,17178.0000
Histogram Median,24.0000, ,Percent Porosity,0.5625
Histogram Min Diam.,2.0000, ,Number of Pores,104.0000
Histogram Max Diam.,76.0000, ,# of Intersections,333.0000
Histogram Integrated Density,123718.0000, ,Intersection Density (100x100px),4.2343
Histogram Raw Integrated Density,123718.0000, ,Char. Length,38.6956
Diameter Skewness,0.7031, ,SD Char. Length,39.9351
Diameter Kurtosis,4.1459, ,Max Span Length,270.9117
Fiber Length,10117.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),48.7759
