Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,32.8798, ,Mean Pore Area,1841.0833
Histogram Mean,16.2491, ,Pore Area SD,3469.3540
Histogram SD,5.9076, ,Min. Pore Area,10.0000
Histogram Mode,10.0000, ,Max. Pore Area,29195.0000
Histogram Median,16.0000, ,Percent Porosity,0.4408
Histogram Min Diam.,2.0000, ,Number of Pores,144.0000
Histogram Max Diam.,46.0000, ,# of Intersections,482.0000
Histogram Integrated Density,107556.0000, ,Intersection Density (100x100px),6.1289
Histogram Raw Integrated Density,107556.0000, ,Char. Length,32.9297
Diameter Skewness,0.5379, ,SD Char. Length,38.8625
Diameter Kurtosis,1.7737, ,Max Span Length,296.8894
Fiber Length,13255.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),29.7212
