 ,Char. Length,Eucl. Length,File Name
74,74.2426,73.0616,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
75,72.6396,70.2922,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
76,71.4853,69.2604,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
77,70.4853,68.0294,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
78,70.4558,65.5210,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
79,70.0122,64.8460,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
80,67.6274,62.1691,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
81,67.6274,60.2080,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
82,66.6274,60.8769,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
83,65.8284,65.0000,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
84,65.6985,56.6039,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
85,65.6690,60.3075,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
86,65.3553,60.4152,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
87,64.5563,49.4065,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
88,62.9117,56.6039,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
89,62.2132,56.0446,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
90,61.5685,60.2080,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
91,60.1838,55.5698,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
92,60.1421,54.9181,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
93,59.8701,55.3624,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
94,59.7990,55.7853,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
95,59.0711,56.3205,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
96,57.7401,56.6392,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
97,57.4558,52.4976,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
98,56.8701,48.1664,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
99,55.9117,54.5619,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
100,54.9706,51.4198,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
101,54.6690,52.4976,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
102,54.1838,49.6790,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
103,53.9117,53.0754,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
104,53.7279,50.8035,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
105,53.3259,53.0377,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
106,53.1127,49.1935,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
107,53.0711,51.0882,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
108,52.3553,48.8774,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
109,51.8701,47.9270,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
110,51.8406,49.8197,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
111,50.8284,50.0400,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
112,50.7279,46.6905,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
113,49.5269,46.1411,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
114,48.9706,44.3847,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
115,48.4558,44.7772,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
116,48.3848,44.9222,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
117,47.8284,47.0425,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
118,46.7990,18.6815,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
119,46.3553,43.2782,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
120,46.1127,41.8688,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
121,45.4264,44.5982,3 4 pclpeo cam kelli 10k67_S1_Intersections2.csv
