 ,Angle,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k67_S1_OrientJ Hist.csv Normalized,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv,3 4 pclpeo cam kelli 10k71_S1_OrientJ Hist.csv Normalized,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv,PCL PEO CAM kont 160818 x10k12_S1_OrientJ Hist.csv Normalized,Sum_of_Frequencies,Sum_of_Norm_Frequencies
62,-29,452.6578,0.0017,2517.6907,0.0067,666.5700,0.0018,3636.9185,0.0102
63,-28,728.8613,0.0027,2110.1694,0.0056,741.4506,0.0020,3580.4813,0.0103
64,-27,275.0508,0.0010,2701.3062,0.0072,812.7252,0.0022,3789.0822,0.0104
65,-26,283.6153,0.0010,6179.3491,0.0164,968.7906,0.0026,7431.7550,0.0200
66,-25,329.1349,0.0012,6628.9297,0.0176,1326.9011,0.0036,8284.9657,0.0224
67,-24,411.2462,0.0015,2081.4744,0.0055,2013.8386,0.0055,4506.5592,0.0125
68,-23,845.0295,0.0031,2133.6484,0.0057,3042.7961,0.0083,6021.4740,0.0171
69,-22,764.7253,0.0028,1732.3225,0.0046,1572.6842,0.0043,4069.7320,0.0117
70,-21,642.0245,0.0024,1970.0781,0.0052,1139.9886,0.0031,3752.0912,0.0107
71,-20,349.8488,0.0013,1558.5554,0.0041,913.5576,0.0025,2821.9618,0.0079
72,-19,99.6993,0.0004,1333.0791,0.0035,812.6813,0.0022,2245.4597,0.0061
73,-18,118.1977,0.0004,1192.3080,0.0032,835.4639,0.0023,2145.9696,0.0059
74,-17,296.8043,0.0011,1412.4883,0.0038,1010.1075,0.0027,2719.4001,0.0076
75,-16,154.3447,0.0006,4813.6851,0.0128,992.4525,0.0027,5960.4823,0.0161
76,-15,0.0000,0.0000,9547.3408,0.0254,991.9575,0.0027,10539.2983,0.0281
77,-14,70.7222,0.0003,3302.8152,0.0088,1080.7795,0.0029,4454.3169,0.0120
78,-13,183.1934,0.0007,2529.9929,0.0067,1280.6217,0.0035,3993.8080,0.0109
