 ,Angle,Frequency,Normalized Frequency
1,-90,171.5649,0.0006
2,-89,214.3622,0.0008
3,-88,120.7989,0.0004
4,-87,41.1121,0.0001
5,-86,20.8938,7.359E-5
6,-85,11.4966,4.049E-5
7,-84,18.0139,6.345E-5
8,-83,51.3728,0.0002
9,-82,112.3849,0.0004
10,-81,260.4452,0.0009
11,-80,717.2300,0.0025
12,-79,6507.5708,0.0229
13,-78,2995.2051,0.0105
14,-77,239.5156,0.0008
15,-76,57.1449,0.0002
16,-75,8.4593,2.979E-5
17,-74,0.0000,0.0000
18,-73,14.6304,5.153E-5
19,-72,48.8798,0.0002
20,-71,116.0982,0.0004
21,-70,147.4783,0.0005
22,-69,152.3927,0.0005
23,-68,130.7945,0.0005
24,-67,149.2003,0.0005
25,-66,194.6648,0.0007
26,-65,249.5058,0.0009
27,-64,309.6053,0.0011
28,-63,524.2281,0.0018
29,-62,822.1845,0.0029
30,-61,1799.4002,0.0063
31,-60,2352.6807,0.0083
32,-59,3148.0960,0.0111
33,-58,3979.4776,0.0140
34,-57,3925.5664,0.0138
35,-56,3325.1868,0.0117
36,-55,2763.3660,0.0097
37,-54,1840.5418,0.0065
38,-53,1436.1409,0.0051
39,-52,1260.8268,0.0044
40,-51,1247.9854,0.0044
41,-50,1246.1831,0.0044
42,-49,1280.6581,0.0045
43,-48,1598.2637,0.0056
44,-47,2090.3367,0.0074
45,-46,2940.8577,0.0104
46,-45,4243.6787,0.0149
47,-44,3025.9334,0.0107
48,-43,2327.0579,0.0082
49,-42,1823.1956,0.0064
50,-41,1425.9124,0.0050
51,-40,1367.6514,0.0048
52,-39,1403.9921,0.0049
53,-38,1466.0862,0.0052
54,-37,1650.3932,0.0058
55,-36,2042.1573,0.0072
56,-35,3006.0371,0.0106
57,-34,3675.5371,0.0129
58,-33,5698.5674,0.0201
59,-32,5910.6377,0.0208
60,-31,3744.5542,0.0132
61,-30,2685.9351,0.0095
62,-29,2120.9649,0.0075
63,-28,1160.1380,0.0041
64,-27,810.2199,0.0029
65,-26,601.2743,0.0021
66,-25,502.2714,0.0018
67,-24,385.2062,0.0014
68,-23,319.5426,0.0011
69,-22,315.8380,0.0011
70,-21,327.9475,0.0012
71,-20,374.2991,0.0013
72,-19,380.8016,0.0013
73,-18,313.0843,0.0011
74,-17,263.1838,0.0009
75,-16,256.8514,0.0009
76,-15,288.9411,0.0010
77,-14,380.4818,0.0013
78,-13,620.7025,0.0022
79,-12,3918.8990,0.0138
80,-11,7721.8286,0.0272
81,-10,1027.8263,0.0036
82,-9,436.6507,0.0015
83,-8,265.6217,0.0009
84,-7,187.5716,0.0007
85,-6,151.9511,0.0005
86,-5,134.5298,0.0005
87,-4,140.7391,0.0005
88,-3,181.2896,0.0006
89,-2,259.4829,0.0009
90,-1,362.9973,0.0013
91,0,324.2729,0.0011
92,1,445.9950,0.0016
93,2,1084.4845,0.0038
94,3,1506.5996,0.0053
95,4,863.3942,0.0030
96,5,2035.9185,0.0072
97,6,1788.8174,0.0063
98,7,195.3906,0.0007
99,8,192.9163,0.0007
100,9,270.7476,0.0010
101,10,435.1193,0.0015
102,11,921.9026,0.0032
103,12,3964.6265,0.0140
104,13,3383.0533,0.0119
105,14,2076.6736,0.0073
106,15,1592.1392,0.0056
107,16,1581.7260,0.0056
108,17,2011.5069,0.0071
109,18,4670.6856,0.0165
110,19,5313.5098,0.0187
111,20,2132.3150,0.0075
112,21,1461.5075,0.0051
113,22,1202.8804,0.0042
114,23,1026.3463,0.0036
115,24,916.0694,0.0032
116,25,821.5652,0.0029
117,26,770.1184,0.0027
118,27,762.1825,0.0027
119,28,726.9616,0.0026
120,29,792.3124,0.0028
121,30,967.9307,0.0034
122,31,1513.7641,0.0053
123,32,3432.7552,0.0121
124,33,3903.8140,0.0137
125,34,2192.5093,0.0077
126,35,1626.7704,0.0057
127,36,1443.1825,0.0051
128,37,1390.2550,0.0049
129,38,1093.9826,0.0039
130,39,883.7193,0.0031
131,40,852.1465,0.0030
132,41,747.6482,0.0026
133,42,697.3590,0.0025
134,43,752.8127,0.0027
135,44,979.0868,0.0034
136,45,1592.7077,0.0056
137,46,1277.4273,0.0045
138,47,1066.0966,0.0038
139,48,997.7045,0.0035
140,49,968.2879,0.0034
141,50,873.0782,0.0031
142,51,848.1940,0.0030
143,52,821.1128,0.0029
144,53,953.1440,0.0034
145,54,1061.8175,0.0037
146,55,1182.4474,0.0042
147,56,1280.1016,0.0045
148,57,1775.8506,0.0063
149,58,2503.6436,0.0088
150,59,1419.5640,0.0050
151,60,1060.1994,0.0037
152,61,910.6617,0.0032
153,62,872.4955,0.0031
154,63,927.4478,0.0033
155,64,893.6060,0.0031
156,65,926.3667,0.0033
157,66,996.7803,0.0035
158,67,1088.8900,0.0038
159,68,1222.0735,0.0043
160,69,1497.7353,0.0053
161,70,2245.8291,0.0079
162,71,5156.6363,0.0182
163,72,5151.3560,0.0181
164,73,2821.7408,0.0099
165,74,1891.2408,0.0067
166,75,1745.4300,0.0061
167,76,1953.3877,0.0069
168,77,3464.4666,0.0122
169,78,4920.2544,0.0173
170,79,2298.3269,0.0081
171,80,2757.3745,0.0097
172,81,3476.7356,0.0122
173,82,2607.1919,0.0092
174,83,4288.6621,0.0151
175,84,6949.2974,0.0245
176,85,2877.7454,0.0101
177,86,751.0982,0.0026
178,87,508.1556,0.0018
179,88,344.3324,0.0012
180,89,237.5025,0.0008
