0,0,0,,,,,,
2,213,213,,,,,,0
4,67,280,,,,,,213
6,75,355,,,,,,67
8,118,473,,,,,,75
10,2418,2891,,,,,,118
12,1138,4029,,,,,,2418
14,190,4219,,,,,,1138
16,1892,6111,,,,,,190
18,1965,8076,,,,,,1892
20,3266,11342,,,,,,1965
22,1411,12753,,,,,,3266
24,251,13004,,,,,,1411
26,212,13216,,,,,,251
28,168,13384,,,,,,212
30,103,13487,,,,,,168
32,64,13551,,,,,,103
34,66,13617,,,,,,64
36,62,13679,,,,,,66
38,31,13710,,,,,,62
40,18,13728,,,,,,31
,,,,,,,,18
