 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,8022,413.8894,159.3797,64.0855,134.9635,0.5885,2.4870,0.4021,0.9727
2,,1395,189.4386,60.5054,29.3555,117.8376,0.4885,2.0611,0.4852,0.9347
3,,5092,337.4214,122.7448,52.8197,120.7359,0.5620,2.3238,0.4303,0.9656
4,,1144,221.3381,98.8976,14.7282,109.9008,0.2934,6.7148,0.1489,0.9105
5,,2935,243.9239,90.7307,41.1874,112.0571,0.6199,2.2029,0.4540,0.9593
6,,273,79.3553,23.2941,14.9220,101.2045,0.5448,1.5611,0.6406,0.8907
7,,5135,310.2254,106.1432,61.5969,179.8352,0.6705,1.7232,0.5803,0.9713
8,,386,127.5980,46.9478,10.4684,92.9883,0.2979,4.4847,0.2230,0.8694
9,,959,164.7107,60.1133,20.3123,110.4446,0.4442,2.9595,0.3379,0.9212
10,,1993,191.1543,63.0481,40.2481,13.8403,0.6854,1.5665,0.6384,0.9577
11,,1396,168.7696,64.4996,27.5574,1.5906,0.6159,2.3406,0.4272,0.9471
12,,815,211.1127,82.0212,12.6515,178.6211,0.2298,6.4831,0.1542,0.8981
13,,1395,190.0244,60.5054,29.3555,152.1624,0.4855,2.0611,0.4852,0.9347
14,,258,103.3553,39.2245,8.3748,13.3520,0.3035,4.6836,0.2135,0.8571
15,,4829,394.5341,127.5305,48.2118,19.4221,0.3899,2.6452,0.3780,0.9568
16,,4049,332.1665,129.1999,39.9021,13.7941,0.4612,3.2379,0.3088,0.9619
17,,4537,353.7473,124.0567,46.5649,47.4506,0.4556,2.6642,0.3754,0.9616
18,,4084,285.0955,91.0831,57.0897,43.4635,0.6314,1.5954,0.6268,0.9661
19,,5308,337.6224,114.3809,59.0864,58.1209,0.5852,1.9358,0.5166,0.9679
20,,4609,321.1371,98.2315,59.7401,78.5605,0.5616,1.6443,0.6082,0.9654
21,,4591,315.2376,126.5317,46.1974,96.2059,0.5806,2.7389,0.3651,0.9685
22,,294,87.1127,26.2363,14.2677,87.2045,0.4868,1.8389,0.5438,0.8829
23,,216,135.3970,56.0575,4.9060,109.4691,0.1481,11.4262,0.0875,0.7579
24,,4182,317.8061,121.8109,43.7127,119.7679,0.5203,2.7866,0.3589,0.9603
25,,652,151.9239,62.6672,13.2470,121.3609,0.3550,4.7307,0.2114,0.8944
