 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
61,,8893,497.6884,163.9660,69.0565,176.7291,0.4512,2.3744,0.4212,0.8931
62,,135,42.8701,13.9190,12.3491,82.7689,0.9231,1.1271,0.8872,0.9247
63,,921,133.6396,55.6378,21.0766,169.5117,0.6480,2.6398,0.3788,0.9441
64,,3657,295.0782,77.3220,60.2188,161.7287,0.5278,1.2840,0.7788,0.8649
65,,695,107.0538,38.7591,22.8308,132.6520,0.7621,1.6977,0.5890,0.9360
66,,200,53.9411,20.4011,12.4821,145.2003,0.8638,1.6344,0.6118,0.9259
67,,1573,194.1076,81.7842,24.4889,136.3072,0.5246,3.3396,0.2994,0.8790
68,,4004,316.9777,124.4616,40.9608,162.2270,0.5008,3.0386,0.3291,0.9343
69,,608,97.1543,32.8722,23.5497,58.4833,0.8094,1.3959,0.7164,0.9470
70,,726,103.9828,36.5501,25.2906,17.3285,0.8438,1.4452,0.6919,0.9478
71,,173,57.0122,24.7564,8.8975,148.0311,0.6688,2.7824,0.3594,0.8941
72,,263,63.9411,25.0497,13.3679,6.6488,0.8084,1.8739,0.5337,0.9310
73,,2251,200.9949,79.4469,36.0752,11.6094,0.7002,2.2023,0.4541,0.9484
74,,303,69.2548,27.2674,14.1484,147.0134,0.7939,1.9272,0.5189,0.9238
75,,851,129.2965,49.6802,21.8100,107.0899,0.6397,2.2779,0.4390,0.9235
76,,217,58.1838,23.2764,11.8701,151.5605,0.8055,1.9609,0.5100,0.9214
77,,286,71.0122,29.0015,12.5561,161.0558,0.7127,2.3097,0.4329,0.9181
78,,3479,251.0366,91.0348,48.6583,110.0729,0.6937,1.8709,0.5345,0.9377
79,,2543,202.0660,73.2210,44.2202,28.5670,0.7827,1.6558,0.6039,0.9535
80,,1065,133.2965,50.7550,26.7166,19.1765,0.7532,1.8998,0.5264,0.9492
81,,2853,248.2082,79.7098,45.5722,87.6759,0.5819,1.7491,0.5717,0.8888
82,,117,38.8701,14.0337,10.6151,127.8475,0.9731,1.3221,0.7564,0.9249
83,,2400,251.1371,74.0693,41.2556,165.1312,0.4782,1.7954,0.5570,0.7783
84,,4000,282.5929,81.5783,62.4303,168.9992,0.6294,1.3067,0.7653,0.9139
85,,836,172.0833,81.7174,13.0257,6.7312,0.3548,6.2735,0.1594,0.8601
86,,495,96.6690,40.5105,15.5578,158.2532,0.6656,2.6039,0.3840,0.9438
87,,2433,202.3087,69.1153,44.8206,106.3886,0.7470,1.5420,0.6485,0.9414
88,,568,90.9117,32.1043,22.5266,38.1753,0.8636,1.4252,0.7017,0.9562
89,,348,102.7107,31.7412,13.9594,1.4537,0.4145,2.2738,0.4398,0.6511
90,,3050,267.3797,112.4732,34.5272,19.1075,0.5361,3.2575,0.3070,0.8666
91,,1141,179.9239,60.1338,24.1589,108.1853,0.4429,2.4891,0.4018,0.7780
92,,658,103.3970,33.3043,25.1557,44.4444,0.7734,1.3239,0.7553,0.9255
93,,468,93.8406,38.8413,15.3413,85.4475,0.6678,2.5318,0.3950,0.9176
94,,1662,159.3381,55.3367,38.2409,113.8745,0.8226,1.4471,0.6911,0.9610
95,,702,126.8528,54.4286,16.4218,144.8391,0.5482,3.3144,0.3017,0.9076
96,,1084,145.2965,58.9215,23.4242,92.6109,0.6453,2.5154,0.3975,0.9321
97,,831,115.0538,40.2708,26.2737,106.3033,0.7889,1.5327,0.6524,0.9400
98,,9869,425.2447,141.7045,88.6747,15.5917,0.6858,1.5980,0.6258,0.9329
99,,10239,625.5534,146.9382,88.7224,136.4007,0.3288,1.6562,0.6038,0.8499
100,,153,47.9411,18.4670,10.5489,140.1134,0.8365,1.7506,0.5712,0.9080
101,,3701,264.9361,91.4224,51.5438,157.5608,0.6626,1.7737,0.5638,0.9210
102,,53,26.1421,8.5553,7.8877,152.3052,0.9745,1.0846,0.9220,0.9217
103,,101,36.3848,12.9334,9.9430,23.5916,0.9587,1.3008,0.7688,0.9439
104,,329,68.7696,25.5224,16.4129,168.5438,0.8742,1.5550,0.6431,0.9468
105,,1355,170.5097,61.0737,28.2485,80.9010,0.5857,2.1620,0.4625,0.8962
106,,1759,190.9949,62.1833,36.0166,124.1092,0.6059,1.7265,0.5792,0.8773
107,,327,78.4264,32.6466,12.7532,162.5792,0.6681,2.5599,0.3906,0.9109
108,,629,112.2254,42.5191,18.8355,110.1579,0.6276,2.2574,0.4430,0.8960
109,,87,32.9706,10.6415,10.4094,29.0546,1.0000,1.0223,0.9782,0.9508
110,,982,127.6396,40.9126,30.5608,78.0096,0.7574,1.3387,0.7470,0.9456
111,,933,175.4802,81.7424,14.5326,153.6847,0.3807,5.6247,0.1778,0.8623
112,,935,132.0244,44.9712,26.4720,74.5756,0.6741,1.6988,0.5886,0.8633
113,,4683,495.9727,95.0436,62.7352,57.9509,0.2392,1.5150,0.6601,0.7054
114,,128,41.4558,14.8145,11.0010,2.2186,0.9359,1.3467,0.7426,0.9275
115,,4457,319.3625,94.1909,60.2482,94.4284,0.5491,1.5634,0.6396,0.8849
116,,3847,316.1909,95.4418,51.3209,28.3731,0.4835,1.8597,0.5377,0.8585
117,,902,141.8823,52.9387,21.6942,3.3279,0.5631,2.4402,0.4098,0.8434
118,,176,49.3553,17.6454,12.6996,51.6848,0.9079,1.3894,0.7197,0.9191
119,,372,99.4975,44.3254,10.6856,159.6416,0.4722,4.1481,0.2411,0.8986
120,,2871,206.7939,63.5113,57.5562,120.7210,0.8437,1.1035,0.9062,0.9681
121,,104,38.8701,15.0270,8.8119,144.0061,0.8650,1.7053,0.5864,0.8966
122,,6391,519.1859,91.8608,88.5827,115.1854,0.2979,1.0370,0.9643,0.7665
123,,1088,194.1665,61.1747,22.6447,153.3308,0.3627,2.7015,0.3702,0.7086
124,,2018,215.6224,64.2949,39.9627,160.2045,0.5454,1.6089,0.6216,0.8379
125,,1558,181.2376,72.9058,27.2092,156.8603,0.5960,2.6795,0.3732,0.9383
126,,354,75.0122,29.4576,15.3009,12.4381,0.7906,1.9252,0.5194,0.9365
127,,333,67.8406,24.4485,17.3421,38.2119,0.9092,1.4098,0.7093,0.9433
128,,1598,226.5929,54.1866,37.5487,103.1916,0.3911,1.4431,0.6930,0.7384
129,,453,82.0833,24.9949,23.0758,86.4763,0.8449,1.0832,0.9232,0.9321
130,,1163,164.8528,68.0738,21.7525,9.1330,0.5378,3.1295,0.3195,0.8929
131,,414,78.9117,28.4780,18.5098,77.3177,0.8355,1.5385,0.6500,0.9324
132,,1035,135.2965,52.9697,24.8784,163.8815,0.7105,2.1291,0.4697,0.9456
133,,1049,137.5807,52.3787,25.4994,55.3953,0.6964,2.0541,0.4868,0.9379
134,,188,50.5269,17.7232,13.5060,106.5693,0.9254,1.3122,0.7621,0.9284
135,,21,17.3137,7.3254,3.6500,167.9990,0.8803,2.0069,0.4983,0.8750
136,,182,55.2132,23.0711,10.0442,9.2483,0.7502,2.2970,0.4354,0.9455
137,,232,56.7696,18.8879,15.6392,34.0736,0.9046,1.2077,0.8280,0.9261
138,,131,41.6985,15.9215,10.4760,152.0338,0.9468,1.5198,0.6580,0.9324
139,,34,21.0711,7.7939,5.5544,95.3921,0.9623,1.4032,0.7127,0.9855
140,,76,32.6274,11.6029,8.3398,153.5455,0.8971,1.3913,0.7188,0.8994
141,,46,25.7990,8.7699,6.6784,145.8531,0.8685,1.3132,0.7615,0.8519
142,,262,72.3259,30.3977,10.9741,146.3179,0.6294,2.7699,0.3610,0.8973
143,,44,25.2132,9.2462,6.0590,124.0690,0.8698,1.5260,0.6553,0.8302
144,,42,23.3137,8.2068,6.5161,90.0000,0.9710,1.2595,0.7940,0.9333
145,Mean,1753.3819,157.5013,51.8417,27.3950,102.1443,0.7011,1.9625,0.5793,0.9017
146,SD,2934.4223,159.6057,43.7557,22.3092,50.1202,0.1858,0.8317,0.1859,0.0544
147,Min,10,11.0711,4.0494,3.1443,1.4537,0.2024,1.0223,0.1594,0.6511
148,Max,20234,1120.9058,298.7935,129.4638,178.0310,1.0000,6.2735,0.9782,0.9855
