 ,Angle,Frequency,Normalized Frequency
1,-90,700.1235,0.0028
2,-89,869.8008,0.0035
3,-88,2109.9245,0.0085
4,-87,2305.0041,0.0092
5,-86,1526.2670,0.0061
6,-85,1576.5278,0.0063
7,-84,1524.7307,0.0061
8,-83,1400.5145,0.0056
9,-82,1570.3691,0.0063
10,-81,2631.6203,0.0105
11,-80,3766.6889,0.0151
12,-79,4913.1699,0.0197
13,-78,2372.2875,0.0095
14,-77,1209.9373,0.0048
15,-76,1127.4708,0.0045
16,-75,1104.5644,0.0044
17,-74,1869.7048,0.0075
18,-73,7871.7905,0.0315
19,-72,6494.5751,0.0260
20,-71,2340.8535,0.0094
21,-70,1292.8174,0.0052
22,-69,992.1680,0.0040
23,-68,742.6357,0.0030
24,-67,581.3144,0.0023
25,-66,465.7756,0.0019
26,-65,364.1012,0.0015
27,-64,265.8409,0.0011
28,-63,325.1954,0.0013
29,-62,526.3782,0.0021
30,-61,327.9945,0.0013
31,-60,205.2683,0.0008
32,-59,186.6886,0.0007
33,-58,172.5023,0.0007
34,-57,184.6661,0.0007
35,-56,265.2060,0.0011
36,-55,465.7313,0.0019
37,-54,605.0244,0.0024
38,-53,702.3393,0.0028
39,-52,819.5891,0.0033
40,-51,971.8331,0.0039
41,-50,1457.6262,0.0058
42,-49,1521.0471,0.0061
43,-48,1760.2497,0.0071
44,-47,1821.1786,0.0073
45,-46,2221.8307,0.0089
46,-45,3290.5256,0.0132
47,-44,2119.4650,0.0085
48,-43,1829.7961,0.0073
49,-42,1813.6682,0.0073
50,-41,1592.8149,0.0064
51,-40,1529.6599,0.0061
52,-39,1087.0998,0.0044
53,-38,922.3077,0.0037
54,-37,811.2943,0.0033
55,-36,768.0040,0.0031
56,-35,673.5753,0.0027
57,-34,509.1690,0.0020
58,-33,439.8738,0.0018
59,-32,449.1387,0.0018
60,-31,512.8331,0.0021
61,-30,637.3395,0.0026
62,-29,759.5269,0.0030
63,-28,802.5840,0.0032
64,-27,543.6393,0.0022
65,-26,452.4779,0.0018
66,-25,493.8066,0.0020
67,-24,583.1666,0.0023
68,-23,717.3652,0.0029
69,-22,895.8078,0.0036
70,-21,1175.8326,0.0047
71,-20,1528.6442,0.0061
72,-19,2715.0185,0.0109
73,-18,7169.0615,0.0287
74,-17,8508.4291,0.0341
75,-16,2112.5974,0.0085
76,-15,1210.3057,0.0049
77,-14,1089.3503,0.0044
78,-13,1053.3781,0.0042
79,-12,1220.9759,0.0049
80,-11,2530.0463,0.0101
81,-10,1565.3417,0.0063
82,-9,684.5590,0.0027
83,-8,584.3810,0.0023
84,-7,537.6887,0.0022
85,-6,631.0228,0.0025
86,-5,866.3924,0.0035
87,-4,1380.3231,0.0055
88,-3,2022.6923,0.0081
89,-2,1953.2275,0.0078
90,-1,912.8913,0.0037
91,0,651.1757,0.0026
92,1,618.6077,0.0025
93,2,653.2724,0.0026
94,3,623.4753,0.0025
95,4,668.7708,0.0027
96,5,551.7608,0.0022
97,6,536.4899,0.0022
98,7,596.8981,0.0024
99,8,681.1695,0.0027
100,9,1202.3294,0.0048
101,10,1810.2082,0.0073
102,11,1616.5729,0.0065
103,12,1563.5541,0.0063
104,13,1568.0876,0.0063
105,14,2125.7863,0.0085
106,15,4791.1469,0.0192
107,16,10303.3637,0.0413
108,17,1446.5434,0.0058
109,18,793.3261,0.0032
110,19,521.1589,0.0021
111,20,347.8928,0.0014
112,21,206.5507,0.0008
113,22,138.6905,0.0006
114,23,90.4878,0.0004
115,24,55.3406,0.0002
116,25,38.4064,0.0002
117,26,0.0000,0.0000
118,27,0.6417,2.572E-6
119,28,3.0793,1.234E-5
120,29,25.8992,0.0001
121,30,75.4630,0.0003
122,31,158.7903,0.0006
123,32,497.8286,0.0020
124,33,2444.6750,0.0098
125,34,1682.6982,0.0067
126,35,874.1445,0.0035
127,36,628.1075,0.0025
128,37,490.9363,0.0020
129,38,391.6699,0.0016
130,39,428.9130,0.0017
131,40,401.8792,0.0016
132,41,601.0707,0.0024
133,42,587.0296,0.0024
134,43,656.4798,0.0026
135,44,1145.4649,0.0046
136,45,2778.8110,0.0111
137,46,1114.9969,0.0045
138,47,611.1744,0.0024
139,48,527.5026,0.0021
140,49,525.3892,0.0021
141,50,297.9918,0.0012
142,51,281.6406,0.0011
143,52,205.6086,0.0008
144,53,207.3968,0.0008
145,54,283.6461,0.0011
146,55,435.4863,0.0017
147,56,684.7441,0.0027
148,57,721.5290,0.0029
149,58,198.3755,0.0008
150,59,175.3558,0.0007
151,60,154.0784,0.0006
152,61,201.2723,0.0008
153,62,207.6451,0.0008
154,63,141.0266,0.0006
155,64,146.2468,0.0006
156,65,179.3857,0.0007
157,66,213.4095,0.0009
158,67,254.4852,0.0010
159,68,297.4758,0.0012
160,69,427.8773,0.0017
161,70,537.9595,0.0022
162,71,630.2181,0.0025
163,72,819.0731,0.0033
164,73,1283.0953,0.0051
165,74,8290.9477,0.0332
166,75,4481.4496,0.0180
167,76,4399.6625,0.0176
168,77,2952.1259,0.0118
169,78,2320.5256,0.0093
170,79,5896.5522,0.0236
171,80,7000.6030,0.0281
172,81,1417.9013,0.0057
173,82,839.6098,0.0034
174,83,654.2365,0.0026
175,84,634.8849,0.0025
176,85,698.5654,0.0028
177,86,813.7090,0.0033
178,87,792.0705,0.0032
179,88,773.8023,0.0031
180,89,745.3514,0.0030
