 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
84,,175,47.6985,15.9910,13.9339,79.7694,0.9666,1.1476,0.8714,0.9459
85,,258,63.3553,23.9461,13.7181,72.4037,0.8077,1.7456,0.5729,0.9281
86,,2037,227.0366,94.0824,27.5672,21.7275,0.4966,3.4128,0.2930,0.9198
87,,109,43.6985,18.2726,7.5951,53.3559,0.7173,2.4058,0.4157,0.8790
88,,51,25.7990,8.8319,7.3523,45.3756,0.9629,1.2012,0.8325,0.8870
89,,23,17.3137,6.8888,4.2510,178.4164,0.9642,1.6205,0.6171,0.9200
90,Mean,2630.1573,208.6653,67.0547,34.6736,95.0263,0.6548,1.9986,0.5780,0.9006
91,SD,3543.3801,169.3626,47.5388,25.7186,53.5961,0.2069,0.8615,0.2014,0.0593
92,Min,23,17.3137,6.8888,4.2510,1.9034,0.2549,1.0422,0.1910,0.7007
93,Max,21859,797.6194,215.9691,142.8910,178.4164,1.0000,5.2357,0.9595,0.9737
