 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
68,,779,109.5391,39.6489,25.0159,124.5494,0.8158,1.5849,0.6309,0.9346
69,,331,70.6690,27.6204,15.2584,139.6500,0.8329,1.8102,0.5524,0.9377
70,,10088,541.4285,171.6908,74.8115,153.6548,0.4324,2.2950,0.4357,0.8226
71,,522,103.7401,43.4171,15.3081,109.7945,0.6095,2.8362,0.3526,0.9214
72,,3513,236.9777,68.9304,64.8900,69.9347,0.7861,1.0623,0.9414,0.9357
73,,45,24.3848,8.7314,6.5620,155.2198,0.9510,1.3306,0.7515,0.8911
74,,157,45.6985,15.7446,12.6963,42.7096,0.9447,1.2401,0.8064,0.9235
75,,623,110.3259,42.0763,18.8521,75.3007,0.6432,2.2319,0.4480,0.9175
76,,1044,129.3970,51.0009,26.0635,99.8814,0.7835,1.9568,0.5110,0.9596
77,,1598,181.8234,64.7814,31.4077,114.3114,0.6074,2.0626,0.4848,0.8605
78,,398,85.1543,33.6986,15.0377,134.5147,0.6897,2.2409,0.4462,0.9213
79,,207,58.2843,23.0833,11.4178,159.4640,0.7657,2.0217,0.4946,0.9159
80,,497,99.1543,42.3438,14.9443,158.2547,0.6352,2.8334,0.3529,0.9264
81,,1724,158.3675,49.8932,43.9952,30.9793,0.8638,1.1341,0.8818,0.9685
82,,238,57.3553,19.4520,15.5784,99.0673,0.9092,1.2487,0.8009,0.9333
83,,26,18.1421,6.6815,4.9546,69.8626,0.9927,1.3486,0.7415,0.8814
84,,238,65.1127,27.5806,10.9871,82.5851,0.7054,2.5103,0.3984,0.9352
85,,438,79.4975,28.0430,19.8865,160.3388,0.8709,1.4102,0.7091,0.9429
86,,522,94.8112,35.4857,18.7295,50.1272,0.7297,1.8946,0.5278,0.9272
87,,947,126.1249,48.5609,24.8298,27.8788,0.7481,1.9557,0.5113,0.9484
88,,437,80.9117,29.5458,18.8320,125.6945,0.8388,1.5689,0.6374,0.9358
89,,1084,138.4680,47.1559,29.2687,90.7774,0.7105,1.6111,0.6207,0.9377
90,,3236,314.9188,77.4811,53.1769,2.3446,0.4100,1.4570,0.6863,0.8289
91,,954,129.8823,42.3676,28.6698,95.2816,0.7107,1.4778,0.6767,0.9280
92,,3325,246.4924,95.0921,44.5202,117.0068,0.6877,2.1359,0.4682,0.9540
93,,865,129.0955,46.1935,23.8421,133.1280,0.6522,1.9375,0.5161,0.8950
94,,59,27.7990,10.5907,7.0931,168.8234,0.9594,1.4931,0.6698,0.9219
95,,415,77.2548,25.9063,20.3964,148.6798,0.8738,1.2701,0.7873,0.9368
96,,417,78.0833,26.9973,19.6664,11.3619,0.8595,1.3728,0.7285,0.9402
97,,4927,316.5341,90.1760,69.5668,156.5197,0.6179,1.2963,0.7715,0.9133
98,,537,91.1543,33.2048,20.5913,123.0694,0.8121,1.6126,0.6201,0.9380
99,,1037,142.4680,55.5805,23.7556,2.0016,0.6420,2.3397,0.4274,0.9280
100,,778,113.6396,41.7172,23.7451,24.7250,0.7571,1.7569,0.5692,0.9453
101,,274,64.5269,23.4235,14.8939,96.9551,0.8269,1.5727,0.6359,0.9320
102,,226,56.1838,20.0559,14.3475,57.7460,0.8997,1.3979,0.7154,0.9281
103,,198,51.1127,17.6866,14.2538,4.7603,0.9524,1.2408,0.8059,0.9451
104,Mean,2030.1553,165.1605,55.8710,30.6723,93.3434,0.7110,1.9771,0.5809,0.9140
105,SD,2924.4879,139.0941,40.4954,25.4221,45.6982,0.1736,0.9049,0.1872,0.0468
106,Min,11,11.0711,4.2530,3.1950,2.0016,0.2870,1.0474,0.1602,0.6630
107,Max,14642,596.9676,171.6908,128.6193,176.4496,1.0000,6.2421,0.9547,0.9706
