Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel,60.8102, ,Mean Pore Area,2089.3488
Histogram Mean,15.7730, ,Pore Area SD,2843.9293
Histogram SD,11.0028, ,Min. Pore Area,21.0000
Histogram Mode,6.0000, ,Max. Pore Area,12649.0000
Histogram Median,20.0000, ,Percent Porosity,0.3288
Histogram Min Diam.,2.0000, ,Number of Pores,43.0000
Histogram Max Diam.,190.0000, ,# of Intersections,116.0000
Histogram Integrated Density,86230.0000, ,Intersection Density (100x100px),1.4750
Histogram Raw Integrated Density,86230.0000, ,Char. Length,64.2087
Diameter Skewness,2.1990, ,SD Char. Length,55.1412
Diameter Kurtosis,7.0662, ,Max Span Length,308.0366
Fiber Length,5807.0000, ,Old Char. Length (Tot. Fiber Len./# intersections),77.4656
