 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,1096.0000,150.7107,57.3118,24.3488,89.4933,0.6064,2.3538,0.4248,0.9320
2,,3017.0000,251.6640,79.9886,48.0239,136.8629,0.5986,1.6656,0.6004,0.9280
3,,4142.0000,313.0610,105.2310,50.1160,148.6710,0.5311,2.0997,0.4762,0.9343
4,,18082.0000,553.9798,189.9345,121.2140,115.4915,0.7404,1.5669,0.6382,0.9681
5,,27496.0000,738.9331,232.3035,150.7037,132.8056,0.6328,1.5415,0.6487,0.9613
6,,24895.0000,661.7199,199.3487,159.0043,161.0523,0.7145,1.2537,0.7976,0.9738
7,,982.0000,137.1960,50.1567,24.9283,133.3935,0.6556,2.0120,0.4970,0.9361
8,,30921.0000,928.6905,252.6851,155.8059,39.1061,0.4505,1.6218,0.6166,0.9442
9,,747.0000,138.2254,54.1251,17.5724,71.4668,0.4913,3.0801,0.3247,0.9005
10,,1604.0000,199.8234,72.5609,28.1457,100.4187,0.5048,2.5780,0.3879,0.9070
11,,1242.0000,149.0955,46.6878,33.8710,100.7220,0.7021,1.3784,0.7255,0.9231
12,,21.0000,15.3137,5.1709,5.1709,0.0000,1.0000,1.0000,1.0000,0.9130
13,Mean,9520.4167,353.2011,112.1254,68.2421,102.4570,0.6357,1.8460,0.5948,0.9351
14,SD,12076.6334,292.4226,83.3599,59.8374,47.1432,0.1478,0.5990,0.1897,0.0234
15,Min,21.0000,15.3137,5.1709,5.1709,0.0000,0.4505,1.0000,0.3247,0.9005
16,Max,30921.0000,928.6905,252.6851,159.0043,161.0523,1.0000,3.0801,1.0000,0.9738
